dataset_id	resource_name	source_url_or_repository	verified_file_name	local_target_path	download_allowed	download_mode	file_size_class	license_status	manual_download_status	notes
PALACIOS_PRODROMAL_PD	sample_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/palacios_prodromal_pd/sample_metadata.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	download only after source/license verification
PALACIOS_PRODROMAL_PD	species_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/palacios_prodromal_pd/species_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	download only after source/license verification
PALACIOS_PRODROMAL_PD	gene_family_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/palacios_prodromal_pd/gene_family_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional unless required by cohort analysis plan
PALACIOS_PRODROMAL_PD	pathway_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/palacios_prodromal_pd/pathway_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional unless required by cohort analysis plan
PALACIOS_PRODROMAL_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/palacios_prodromal_pd/clinical_metadata.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional covariate layer
PALACIOS_PRODROMAL_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/palacios_prodromal_pd/run_accession_mapping.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	required for future Phase 3 only
NISHIWAKI_MULTICOUNTRY_PD	sample_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/nishiwaki_multicountry_pd/sample_metadata.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	download only after source/license verification
NISHIWAKI_MULTICOUNTRY_PD	species_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/nishiwaki_multicountry_pd/species_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	download only after source/license verification
NISHIWAKI_MULTICOUNTRY_PD	gene_family_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/nishiwaki_multicountry_pd/gene_family_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional unless required by cohort analysis plan
NISHIWAKI_MULTICOUNTRY_PD	pathway_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/nishiwaki_multicountry_pd/pathway_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional unless required by cohort analysis plan
NISHIWAKI_MULTICOUNTRY_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/nishiwaki_multicountry_pd/clinical_metadata.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional covariate layer
NISHIWAKI_MULTICOUNTRY_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/nishiwaki_multicountry_pd/run_accession_mapping.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	required for future Phase 3 only
MAO_CENTRAL_CHINA_PD	sample_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/mao_central_china_pd/sample_metadata.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	download only after source/license verification
MAO_CENTRAL_CHINA_PD	species_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/mao_central_china_pd/species_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	download only after source/license verification
MAO_CENTRAL_CHINA_PD	gene_family_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/mao_central_china_pd/gene_family_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional unless required by cohort analysis plan
MAO_CENTRAL_CHINA_PD	pathway_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/mao_central_china_pd/pathway_abundance.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional unless required by cohort analysis plan
MAO_CENTRAL_CHINA_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/mao_central_china_pd/clinical_metadata.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	optional covariate layer
MAO_CENTRAL_CHINA_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/mao_central_china_pd/run_accession_mapping.tsv	no	manual_only_after_verification	unknown	pending_manual_verification	pending	required for future Phase 3 only
INTEGRATED_US_MULTICOHORT_PD	sample_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/integrated_us_multicohort_pd/sample_metadata.tsv	no	manual_only_after_verification	unknown	verified	available	D7 finalized: standardized processed table available and verified locally
INTEGRATED_US_MULTICOHORT_PD	species_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/integrated_us_multicohort_pd/species_abundance.tsv	no	manual_only_after_verification	unknown	verified	available	D7 finalized: standardized processed table available and verified locally
INTEGRATED_US_MULTICOHORT_PD	gene_family_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/integrated_us_multicohort_pd/gene_family_abundance.tsv	no	manual_only_after_verification	unknown	unclear	pending	D4 inspection complete; source files present locally; pending structured extraction only
INTEGRATED_US_MULTICOHORT_PD	pathway_abundance	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/integrated_us_multicohort_pd/pathway_abundance.tsv	no	manual_only_after_verification	unknown	unclear	pending	D4 inspection complete; source files present locally; pending structured extraction only
INTEGRATED_US_MULTICOHORT_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/integrated_us_multicohort_pd/clinical_metadata.tsv	no	manual_only_after_verification	unknown	unclear	pending	D4 inspection complete; source files present locally; pending structured extraction only
INTEGRATED_US_MULTICOHORT_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	data/phase2e/processed_tables/integrated_us_multicohort_pd/run_accession_mapping.tsv	no	manual_only_after_verification	unknown	verified	not_available	Not available yet (placeholder file only); accession mapping unresolved
